Time,Current,Speed
0,0,0
0.002,0.941307424494718,0.00156577948664854
0.004,1.84602193863556,0.10084360279843
0.006,2.71493815766489,0.350242260810875
0.008,3.54877257132647,0.743641850352958
0.01,4.3482417452411,1.27504861978823
0.012,5.1140620227666,1.93859453259339
0.014,5.84694764733292,2.72853739118558
0.016,6.54761063289,3.63926075422931
0.018,7.21676078096773,4.66527257039055
0.02,7.85510669455884,5.80120569032592
0.022,8.46335302245736,7.04181625724835
0.024,9.04219993325183,8.38198320916917
0.026,9.59234311526838,9.81670827868476
0.028,10.1144736550995,11.3411138799224
0.03,10.6092795269258,12.9504444454678
0.032,11.0774434924131,14.6400644925752
0.034,11.5196418297495,16.4054555967123
0.036,11.9365443336447,18.24221639156
0.038,12.3288143142455,20.1460625588553
0.04,12.6971086960655,22.1128236239883
0.042,13.0420793551331,24.1384468281137
0.044,13.3643710557052,26.2189928011341
0.046,13.6646205648892,28.3506310650655
0.048,13.9434566526425,30.529640034037
0.05,14.2015000917731,32.7524070142909
0.052,14.4393637169452,35.0154266045588
0.054,14.6576534351857,37.315300538991
0.056,14.8569674513999,39.64874022915
0.058,15.0378950414836,42.0125566237036
0.06,15.2010165215141,44.4036596697635
0.062,15.34690324775,46.8190583128857
0.064,15.4761176171661,49.2558604412839
0.066,15.5892134693238,51.7112692079475
0.068,15.6867366169074,54.1825907440608
0.07,15.7692236554757,56.6672249499197
0.072,15.8372017424375,59.1626597438384
0.074,15.891188597052,61.6664710621505
0.076,15.9316925004286,64.1763228592079
0.078,15.9592123194492,66.6899666202422
0.08,15.9742381195352,69.2052386100851
0.082,15.9772509907959,71.7200690595625
0.084,15.9687225112377,74.2324679912643
0.086,15.9491147642882,76.7405218122222
0.088,15.9188803387966,79.2423933139103
0.09,15.8784623290331,81.7363216722447
0.092,15.8282943631558,84.2206220367153
0.094,15.7688012042886,86.6936827488475
0.096,15.7003983307365,89.1539759040181
0.098,15.6234918896169,91.6000422504611
0.1,15.5384788347392,94.0304870654666
0.102,15.4457469266047,96.4439801553813
0.104,15.3456747324067,98.8392558556081
0.106,15.2386316260304,101.215113030607
0.108,15.1249782442887,103.570411800389
0.11,15.0050662638194,105.904083212455
0.112,14.8792382380575,108.215120995507
0.114,14.7478281178576,110.502571738444
0.116,14.611161251562,112.765534889483
0.118,14.4695543850001,115.003162756162
0.12,14.3233156614893,117.214660505336
0.122,14.1727447153233,119.399285362285
0.124,14.0181331924808,121.556346086198
0.126,13.8597637256178,123.685212975709
0.128,13.6979109286877,125.785300800267
0.13,13.5328416236361,127.856066064611
0.132,13.3648148404008,129.897007008763
0.134,13.1940818169118,131.907663608034
0.136,13.0208859990912,133.887617573021
0.138,12.8454632201883,135.836491118393
0.14,12.6680419652955,137.753949105233
0.142,12.4888423227676,139.639705864258
0.144,12.3080773942422,141.49350864836
0.146,12.1259534509331,143.315136167176
0.148,11.9426699336303,145.104398587085
0.15,11.7584194526997,146.861137531212
