Time,tau_m,tau_ext,theta_m,q,d_theta_m,d_q,dd_theta_m,dd_q
0,0.153,0,0.00212398342320539,-0.000425424935666128,0.127111824024172,-0.0161304457477605,2492.72925901015,0.239317826677217
0.002,0.154361020085241,0,0.0239043392521835,-0.000319860883618897,3.05976945800197,-0.00481610284174953,2077.94436609804,2.21055331973323
0.004,0.155064285734578,0,0.0454418334918682,-0.000217648823042982,5.84661190079334,0.0069951922925386,1676.22623970003,4.1228434502061
0.006,0.1551687408604,0,0.0671082940440133,-0.000111335042350687,8.39757300249937,0.0197169274432796,1299.68220085408,5.92511719586942
0.008,0.154779987985473,0,0.0892619878564908,5.95646004674737e-06,10.6442457141317,0.0336893352764153,959.829880802686,7.56472149214704
0.01,0.154040067793199,0,0.112220207701667,0.000140130363129685,12.5457004544439,0.0491402086699282,666.961968780061,8.98990038862478
0.012,0.153114273097801,0,0.136245348963397,0.000295813919827824,14.0917052333628,0.0661563174916995,429.493175590466,10.1534039511196
0.014,0.152176109024932,0,0.161544889646494,0.00047621311364374,15.3029819693766,0.0846693722741481,253.332812199335,11.0168980708699
0.016,0.151391664017081,0,0.188283251866772,0.00068317733982272,16.2284508896908,0.104459141279317,141.343850557832,11.555579804092
0.018,0.150904703977371,0,0.216601656848146,0.000917462989136311,16.9397451362734,0.12517425951899,92.9613404127098,11.762237408073
0.02,0.150823740497961,0,0.246641056870463,0.00117913572154078,17.5235836645274,0.146368848306473,104.043057718713,11.6499699601181
0.022,0.151212158793796,0,0.278563127972413,0.0014680246869385,18.0728337058538,0.167550741852111,167.009237142715,11.252915657583
0.024,0.152082235413565,0,0.312565054087871,0.00178413667166131,18.6772397373875,0.188235351581758,271.296456734106,10.6246169831575
0.026,0.153393551248982,0,0.348885217433381,0.00212794869391415,19.4148205628179,0.207998345858462,404.108335469017,9.83402461656276
0.028,0.155055938758335,0,0.387798654545608,0.00250053025794287,20.3448343591964,0.226520466289809,551.401475427996,8.95953154104818
0.03,0.15693672409824,0,0.429602935400095,0.0029035009903467,21.5029991865239,0.243618828312288,699.008704828249,8.08174965220691
0.032,0.158871666421314,0,0.474596672341754,0.00333887862859853,22.8993677539491,0.259260866504781,833.78058694927,7.27593028183492
0.034,0.160678687708923,0,0.523053932859606,0.00380888452739235,24.5189348492618,0.273559535135375,944.62355432149,6.60496394009041
0.036,0.162173252819592,0,0.57519830963338,0.00431574974865938,26.3247488016258,0.286751091169587,1023.32772112548,6.11378791281899
